,x_train,y_train
0,-0.5,0.16979070894090503
1,-0.49870443912648127,-0.5796828686953254
2,-0.4932130574234076,0.1417575065011257
3,-0.49057222978798015,-0.2547530239760963
4,-0.4885020714229193,-0.014993547910019493
5,-0.4845201045026458,-0.06246635861425917
6,-0.4806903618838523,-0.2623245731999098
7,-0.4783698270649527,-0.5026009503128365
8,-0.47680586545947534,-0.5377677175823136
9,-0.47076257960868534,-0.317931122061408
10,-0.4640816082533597,-1.0135321715788987
11,-0.46196397135375367,-0.4021693649238256
12,-0.4546187602684724,-0.16422643180014035
13,-0.4531106860300199,-0.49226270509577497
14,-0.45207271626600093,-0.22335737516413068
15,-0.4499685786999375,0.04451261341832241
16,-0.4464266696889737,-0.519674526846196
17,-0.4446000788251206,-0.5514737982620495
18,-0.44205973633711,0.07817033010967861
19,-0.4398636916593347,-0.7398473152189255
20,-0.43692467818945285,0.15931366473559566
21,-0.4355715890478306,-0.14319547861530263
22,-0.43409523004981226,-0.8743468739452612
23,-0.4264447578525246,-0.017917627614488285
24,-0.42250943118826045,-1.0037379713711543
25,-0.4187918812849389,-0.3972064187187872
26,-0.41299521593205474,-0.5354423924046022
27,-0.40598998207319514,0.0659360140273717
28,-0.3982969658952651,-0.5288188659974502
29,-0.3929732166523782,-1.0116916883856968
30,-0.39085646770583093,-0.4755449899905884
31,-0.3881646593253708,-1.4531113607936395
32,-0.38379863619185844,-0.4749276047052857
33,-0.38258430604192517,-0.10257610088252189
34,-0.3751809304386681,-0.11353540640380322
35,-0.3717533405517761,-0.6992644349577617
36,-0.36614494149785903,-0.8461518775919139
37,-0.3596875465439674,-0.711734977792845
38,-0.3565131878967214,-0.6304403467215937
39,-0.3493934160439609,-0.2534929325222448
40,-0.34293290195214216,-1.4981201720816255
41,-0.3376091889189028,-0.8357628771579404
42,-0.33308850929690365,-1.314020442732434
43,-0.3274067577956244,-0.9853266280111713
44,-0.32246199872339343,-1.355792092866087
45,-0.3180404697886058,-0.6338198502964499
46,-0.31345786425562316,-0.8475047995574196
47,-0.30825849557485585,-0.5031190219878356
48,-0.3027314593365836,-0.8566593228427429
49,-0.30149596540248824,-0.8815737256464957
